91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/core.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/components.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/fileupload/fileupload.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/js/ktskey.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/libs/perfect-scrollbar/dist/perfect-scrollbar.jquery.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/js/app-style-switcher.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/js/feather.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/libs/popper.js/dist/umd/popper.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/libs/bootstrap/dist/js/bootstrap.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/themify-icons/fonts/themify.woff.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/js/sidebarmenu.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/js/custom.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/extra-libs/c3/d3.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.js.xhtml HTTP/1.1" 304 -
