94.177.75.253 - - [05/Aug/2024:08:57:45 +0330] "GET /javax.faces.resource/themify-icons/themify-icons.css.xhtml?ln=icons HTTP/1.1" 200 17535
94.177.75.253 - - [05/Aug/2024:08:57:45 +0330] "GET /resources/images/logo/logo1.png HTTP/1.1" 200 12732
94.177.75.253 - - [05/Aug/2024:08:57:45 +0330] "GET / HTTP/1.1" 200 5292
94.177.75.253 - - [05/Aug/2024:08:57:45 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebregularfanum.woff.xhtml?ln=fonts HTTP/1.1" 200 33629
94.177.75.253 - - [05/Aug/2024:08:57:45 +0330] "GET /javax.faces.resource/font-awesome/webfonts/fa-solid-900.woff2.xhtml?ln=icons HTTP/1.1" 200 44056
94.177.75.253 - - [05/Aug/2024:08:57:46 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebboldfanum.woff.xhtml?ln=fonts HTTP/1.1" 200 33625
94.177.75.253 - - [05/Aug/2024:08:57:46 +0330] "GET /javax.faces.resource/font-awesome/webfonts/fa-regular-400.woff2.xhtml?ln=icons HTTP/1.1" 200 12244
94.177.75.253 - - [05/Aug/2024:08:57:49 +0330] "GET /favicon.ico HTTP/1.1" 404 778
94.177.75.253 - - [05/Aug/2024:08:57:55 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebmediumfanum.woff.xhtml?ln=fonts HTTP/1.1" 200 34669
94.177.75.253 - - [05/Aug/2024:08:57:56 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanweblightfanum.woff.xhtml?ln=fonts HTTP/1.1" 200 33985
94.177.75.253 - - [05/Aug/2024:08:57:56 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebthinfanum.woff.xhtml?ln=fonts HTTP/1.1" 200 34321
94.177.75.253 - - [05/Aug/2024:08:57:56 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebextraboldfanum.woff.xhtml?ln=fonts HTTP/1.1" 200 32872
94.177.75.253 - - [05/Aug/2024:08:57:56 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebblackfanum.woff.xhtml?ln=fonts HTTP/1.1" 200 33161
94.177.75.253 - - [05/Aug/2024:08:57:58 +0330] "POST / HTTP/1.1" 200 127
94.177.75.253 - - [05/Aug/2024:08:57:58 +0330] "GET /admin/index HTTP/1.1" 301 -
94.177.75.253 - - [05/Aug/2024:08:57:58 +0330] "GET /admin/ HTTP/1.1" 200 26876
94.177.75.253 - - [05/Aug/2024:08:57:58 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.css.xhtml HTTP/1.1" 200 2161
94.177.75.253 - - [05/Aug/2024:08:57:58 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.css.xhtml HTTP/1.1" 200 6707
94.177.75.253 - - [05/Aug/2024:08:57:58 +0330] "GET /javax.faces.resource/js/ktskey.js.xhtml HTTP/1.1" 200 9178
