204.116.80.37 - - [29/Aug/2024:15:03:03 +0330] "GET /javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 267621
204.116.80.37 - - [29/Aug/2024:15:03:03 +0330] "GET /javax.faces.resource/font-awesome/css/fontawesome-all.css.xhtml?ln=icons HTTP/1.1" 200 49130
204.116.80.37 - - [29/Aug/2024:15:03:03 +0330] "GET /javax.faces.resource/simple-line-icons/css/simple-line-icons.css.xhtml?ln=icons HTTP/1.1" 200 13067
204.116.80.37 - - [29/Aug/2024:15:03:03 +0330] "GET /javax.faces.resource/themify-icons/themify-icons.css.xhtml?ln=icons HTTP/1.1" 200 17535
204.116.80.37 - - [29/Aug/2024:15:03:03 +0330] "GET /javax.faces.resource/components.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 200 435082
204.116.80.37 - - [29/Aug/2024:15:03:03 +0330] "GET /javax.faces.resource/js/select2.js.xhtml HTTP/1.1" 200 169126
204.116.80.37 - - [29/Aug/2024:15:03:03 +0330] "GET /resources/images/logo/logo1.png HTTP/1.1" 200 12732
204.116.80.37 - - [29/Aug/2024:15:03:04 +0330] "GET /javax.faces.resource/js/tilt.jquery.min.js.xhtml HTTP/1.1" 200 5640
204.116.80.37 - - [29/Aug/2024:15:03:04 +0330] "GET /javax.faces.resource/js/login.js.xhtml HTTP/1.1" 200 40319
204.116.80.37 - - [29/Aug/2024:15:03:04 +0330] "GET /javax.faces.resource/unload.js.xhtml?ln=omnifaces&v=3.2 HTTP/1.1" 200 2565
204.116.80.37 - - [29/Aug/2024:15:03:05 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebregularfanum.woff.xhtml?ln=fonts HTTP/1.1" 200 33629
204.116.80.37 - - [29/Aug/2024:15:03:05 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebboldfanum.woff.xhtml?ln=fonts HTTP/1.1" 200 33625
204.116.80.37 - - [29/Aug/2024:15:03:05 +0330] "GET /javax.faces.resource/font-awesome/webfonts/fa-solid-900.woff2.xhtml?ln=icons HTTP/1.1" 200 44056
94.177.73.49 - - [29/Aug/2024:15:03:09 +0330] "POST /admin/?page=11 HTTP/1.1" 200 23513
94.177.73.49 - - [29/Aug/2024:15:03:10 +0330] "POST /admin/?page=11 HTTP/1.1" 200 23307
94.177.73.49 - - [29/Aug/2024:15:03:10 +0330] "POST /admin/?page=11 HTTP/1.1" 200 23368
94.177.73.49 - - [29/Aug/2024:15:03:13 +0330] "POST /admin/?page=11 HTTP/1.1" 200 23443
94.177.73.49 - - [29/Aug/2024:15:03:15 +0330] "POST /admin/?page=11 HTTP/1.1" 200 4977
