91.229.215.156 - - [22/Jul/2024:08:45:45 +0330] "GET /javax.faces.resource/extra-libs/c3/d3.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:45 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:48 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:48 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-world-mill-en.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:52 +0330] "GET /javax.faces.resource/js/datepicker-fa.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:55 +0330] "GET /javax.faces.resource/js/pages/dashboards/dashboard1.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:58 +0330] "GET /javax.faces.resource/themify-icons/fonts/themify.woff.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:58 +0330] "GET /javax.faces.resource/font-awesome/webfonts/fa-solid-900.woff2.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:45:58 +0330] "GET /javax.faces.resource/primeicons/primeicons.ttf.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [22/Jul/2024:08:46:24 +0330] "GET /javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3699
91.229.215.156 - - [22/Jul/2024:08:46:28 +0330] "GET /javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3698
91.229.215.156 - - [22/Jul/2024:08:46:52 +0330] "POST /admin/?page=11 HTTP/1.1" 200 31012
91.229.215.156 - - [22/Jul/2024:08:46:57 +0330] "POST /admin/?page=11 HTTP/1.1" 200 31012
91.229.215.156 - - [22/Jul/2024:08:47:01 +0330] "POST /admin/?page=11 HTTP/1.1" 200 31012
