91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/core.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/simple-line-icons/css/simple-line-icons.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/font-awesome/css/fontawesome-all.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/themify-icons/themify-icons.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/components.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/js/ktskey.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/libs/popper.js/dist/umd/popper.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/js/app-style-switcher.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/libs/bootstrap/dist/js/bootstrap.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/libs/perfect-scrollbar/dist/perfect-scrollbar.jquery.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/js/feather.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/js/custom.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/js/sidebarmenu.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/extra-libs/c3/d3.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/themify-icons/fonts/themify.woff.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/IranYekan/Farsi_numerals/WebFonts/fonts/woff/iranyekanwebmediumfanum.woff.xhtml?ln=fonts HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-world-mill-en.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/js/pages/dashboards/dashboard1.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:10 +0330] "GET /javax.faces.resource/js/datepicker-fa.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /admin/?page=21 HTTP/1.1" 200 94282
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/css/theme/teanow-prime-1/theme.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/css/admin.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/css/panel-rtl.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/components.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/fileupload/fileupload.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/core.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/components.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/font-awesome/css/fontawesome-all.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/simple-line-icons/css/simple-line-icons.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/themify-icons/themify-icons.css.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/js/ktskey.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/fileupload/fileupload.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/libs/popper.js/dist/umd/popper.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/libs/perfect-scrollbar/dist/perfect-scrollbar.jquery.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/js/feather.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/libs/bootstrap/dist/js/bootstrap.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/js/app-style-switcher.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/js/sidebarmenu.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/themify-icons/fonts/themify.woff.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/js/custom.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/extra-libs/c3/d3.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-world-mill-en.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/js/pages/dashboards/dashboard1.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/js/datepicker-fa.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/font-awesome/webfonts/fa-solid-900.woff2.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:18:13 +0330] "GET /javax.faces.resource/primeicons/primeicons.ttf.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:19:31 +0330] "POST /admin/?page=21 HTTP/1.1" 200 5548
185.224.128.187 - - [10/Sep/2024:09:26:42 +0330] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 404 805
195.26.87.47 - - [10/Sep/2024:09:27:03 +0330] "GET / HTTP/1.1" 200 6040
195.26.87.47 - - [10/Sep/2024:09:27:03 +0330] "CONNECT example.com:443 HTTP/1.1" 400 811
195.26.87.47 - - [10/Sep/2024:09:27:04 +0330] "GET / HTTP/1.1" 200 6040
195.26.87.47 - - [10/Sep/2024:09:27:04 +0330] "CONNECT example.com:443 HTTP/1.1" 400 811
172.214.114.21 - - [10/Sep/2024:09:37:21 +0330] "-" 400 2001
91.229.215.156 - - [10/Sep/2024:09:39:13 +0330] "GET /admin/?page=22&item=5fbabde88b00807e090cd94d HTTP/1.1" 200 336308
91.229.215.156 - - [10/Sep/2024:09:39:17 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:17 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:17 +0330] "GET /javax.faces.resource/css/admin.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:17 +0330] "GET /javax.faces.resource/css/panel-rtl.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:17 +0330] "GET /javax.faces.resource/css/theme/teanow-prime-1/theme.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:17 +0330] "GET /javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:21 +0330] "GET /javax.faces.resource/components.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:21 +0330] "GET /javax.faces.resource/fileupload/fileupload.css.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:21 +0330] "GET /javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:21 +0330] "GET /javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:21 +0330] "GET /javax.faces.resource/components.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:21 +0330] "GET /javax.faces.resource/core.js.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [10/Sep/2024:09:39:24 +0330] "GET /javax.faces.resource/font-awesome/css/fontawesome-all.css.xhtml?ln=icons HTTP/1.1" 304 -
